epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0   , lr/pg1     , lr/pg2
   33,  96562.1 ,        0.65786,        0.30714,        0.88639,              0.77112,           0.80156,          0.83331,             0.70703,      0.66689,      0.27544,      0.88801, 0.0003664, 0.0003664  , 0.0003664
   34, 100329   ,        0.65729,        0.30638,        0.8835 ,              0.76261,           0.8064 ,          0.83686,             0.71078,      0.66885,      0.27084,      0.89087, 0.0003466, 0.0003466  , 0.0003466
   35, 103152   ,        0.65293,        0.30196,        0.88056,              0.82442,           0.7968 ,          0.85692,             0.72908,      0.66294,      0.2712 ,      0.88829, 0.0003268, 0.0003268  , 0.0003268
   36, 105926   ,        0.65098,        0.29914,        0.88177,              0.77472,           0.81124,          0.83952,             0.71348,      0.6614 ,      0.27058,      0.88757, 0.000307 , 0.000307   , 0.000307
   37, 109189   ,        0.65798,        0.29875,        0.8818 ,              0.88418,           0.74536,          0.84099,             0.71049,      0.65995,      0.26843,      0.88763, 0.0002872, 0.0002872  , 0.0002872
   38, 112659   ,        0.64564,        0.29315,        0.8768 ,              0.81367,           0.78193,          0.84392,             0.71838,      0.66232,      0.26587,      0.88756, 0.0002674, 0.0002674  , 0.0002674
   39, 116159   ,        0.63985,        0.29138,        0.87536,              0.8459 ,           0.76036,          0.84212,             0.71193,      0.66425,      0.26628,      0.8883 , 0.0002476, 0.0002476  , 0.0002476
   40, 119881   ,        0.64141,        0.29252,        0.8776 ,              0.79374,           0.76922,          0.83124,             0.71087,      0.66588,      0.27059,      0.88968, 0.0002278, 0.0002278  , 0.0002278
   41, 122281   ,        0.64383,        0.29373,        0.9015 ,              0.79695,           0.78832,          0.83472,             0.7086 ,      0.66774,      0.27242,      0.89036, 0.000208 , 0.000208   , 0.000208
   42, 125022   ,        0.63729,        0.28558,        0.89595,              0.83594,           0.75141,          0.83249,             0.7049 ,      0.66193,      0.26896,      0.88836, 0.0001882, 0.0001882  , 0.0001882
   43, 127697   ,        0.63465,        0.28226,        0.89548,              0.76748,           0.80151,          0.83673,             0.705  ,      0.6634 ,      0.26586,      0.8882 , 0.0001684, 0.0001684  , 0.0001684
   44, 130267   ,        0.62601,        0.27838,        0.89256,              0.82671,           0.77603,          0.82946,             0.70215,      0.66174,      0.26763,      0.88914, 0.0001486, 0.0001486  , 0.0001486
   45, 132863   ,        0.62232,        0.27484,        0.89276,              0.79888,           0.79282,          0.8419 ,             0.70824,      0.665  ,      0.2648 ,      0.89058, 0.0001288, 0.0001288  , 0.0001288
